price_soybean,real_interest_rate,SP500,usa_prod,price_soybean (t-1),real_interest_rate (t-1),SP500 (t-1),usa_prod (t-1),price_soybean (t-3),real_interest_rate (t-3),SP500 (t-3),usa_prod (t-3),price_soybean (t-6),real_interest_rate (t-6),SP500 (t-6),usa_prod (t-6),year,month_sin,month_cos,date
1005.0,0.84676,1.5290892069011635,1.1227755142478544,1.073446327683616,1.01936,1.4747893540189916,1.1227755142478544,1.1882247992863515,1.30911,1.4472381971378894,1.1227755142478544,1.087124591138864,1.29792,1.502875484820115,1.1227755142478544,2010,-0.4999999999999997,-0.8660254037844388,2010-07-01
1010.0,0.65616,1.481877758459275,1.1227755142478544,1.1953612845673507,0.84676,1.5290892069011635,1.1227755142478544,1.1153731787094856,1.22639,1.4234318576969371,1.1227755142478544,1.1430270591733571,1.12452,1.2637421425705495,1.1227755142478544,2010,-0.8660254037844384,-0.5000000000000004,2010-08-02
1106.75,0.57707,1.45125050153805,1.1227755142478544,1.2013083556348498,0.65616,1.481877758459275,1.1227755142478544,1.073446327683616,1.01936,1.4747893540189916,1.1227755142478544,1.11923877490336,0.99873,1.4044402835361773,1.1227755142478544,2010,-1.0,-1.8369701987210297e-16,2010-09-01
1236.0,0.40881,1.6380901431055235,1.1227755142478544,1.3163841807909604,0.57707,1.45125050153805,1.1227755142478544,1.1953612845673507,0.84676,1.5290892069011635,1.1227755142478544,1.1882247992863515,1.30911,1.4472381971378894,1.1227755142478544,2010,-0.8660254037844386,0.5000000000000001,2010-10-01
1243.0,0.33889,1.6849003611073958,1.1227755142478544,1.4701159678858162,0.40881,1.6380901431055235,1.1227755142478544,1.2013083556348498,0.65616,1.481877758459275,1.1227755142478544,1.1153731787094856,1.22639,1.4234318576969371,1.1227755142478544,2010,-0.5000000000000004,0.8660254037844384,2010-11-01
1403.0,0.62621,1.6586866390263475,1.1227755142478544,1.4784418673803152,0.33889,1.6849003611073958,1.1227755142478544,1.3163841807909604,0.57707,1.45125050153805,1.1227755142478544,1.073446327683616,1.01936,1.4747893540189916,1.1227755142478544,2010,-2.4492935982947064e-16,1.0,2010-12-01
1413.0,0.86398,1.7581917881503275,1.0438643203011801,1.6687481415402914,0.62621,1.6586866390263475,1.1227755142478544,1.4701159678858162,0.40881,1.6380901431055235,1.1227755142478544,1.1953612845673507,0.84676,1.5290892069011635,1.1227755142478544,2011,0.49999999999999994,0.8660254037844387,2011-01-03
1364.75,0.82969,1.8559582720342382,1.0438643203011801,1.68064228367529,0.86398,1.7581917881503275,1.0438643203011801,1.4784418673803152,0.33889,1.6849003611073958,1.1227755142478544,1.2013083556348498,0.65616,1.481877758459275,1.1227755142478544,2011,0.8660254037844386,0.5000000000000001,2011-02-01
1410.25,0.87385,1.925103651197004,1.0438643203011801,1.623253047873922,0.82969,1.8559582720342382,1.0438643203011801,1.6687481415402914,0.62621,1.6586866390263475,1.1227755142478544,1.3163841807909604,0.57707,1.45125050153805,1.1227755142478544,2011,1.0,6.123233995736766e-17,2011-03-01
1394.0,0.9775,1.9728500735589138,1.0438643203011801,1.6773713945881654,0.87385,1.925103651197004,1.0438643203011801,1.68064228367529,0.86398,1.7581917881503275,1.0438643203011801,1.4701159678858162,0.40881,1.6380901431055235,1.1227755142478544,2011,0.8660254037844387,-0.4999999999999998,2011-04-01
1376.0,0.71147,1.9379430252775176,1.0438643203011801,1.6580434136187927,0.9775,1.9728500735589138,1.0438643203011801,1.623253047873922,0.82969,1.8559582720342382,1.0438643203011801,1.4784418673803152,0.33889,1.6849003611073958,1.1227755142478544,2011,0.49999999999999994,-0.8660254037844387,2011-05-02
1294.0,0.49227,1.954527216798181,1.0438643203011801,1.6366339577757953,0.71147,1.9379430252775176,1.0438643203011801,1.6773713945881654,0.87385,1.925103651197004,1.0438643203011801,1.6687481415402914,0.62621,1.6586866390263475,1.1227755142478544,2011,1.2246467991473532e-16,-1.0,2011-06-01
1357.25,0.57395,1.9890330346395613,1.0438643203011801,1.5391019922688076,0.49227,1.954527216798181,1.0438643203011801,1.6580434136187927,0.9775,1.9728500735589138,1.0438643203011801,1.68064228367529,0.86398,1.7581917881503275,1.0438643203011801,2011,-0.4999999999999997,-0.8660254037844388,2011-07-01
1457.5,0.39497,1.9118630466764743,1.0438643203011801,1.6143324412726732,0.57395,1.9890330346395613,1.0438643203011801,1.6366339577757953,0.71147,1.9379430252775176,1.0438643203011801,1.623253047873922,0.82969,1.8559582720342382,1.0438643203011801,2011,-0.8660254037844384,-0.5000000000000004,2011-08-01
1179.0,0.21494,2.0006687174000266,1.0438643203011801,1.7335712161760333,0.39497,1.9118630466764743,1.0438643203011801,1.5391019922688076,0.49227,1.954527216798181,1.0438643203011801,1.6773713945881654,0.87385,1.925103651197004,1.0438643203011801,2011,-1.0,-1.8369701987210297e-16,2011-09-01
1217.25,0.09856,1.9362043600374481,1.0438643203011801,1.4023193577163247,0.21494,2.0006687174000266,1.0438643203011801,1.6143324412726732,0.57395,1.9890330346395613,1.0438643203011801,1.6580434136187927,0.9775,1.9728500735589138,1.0438643203011801,2011,-0.8660254037844386,0.5000000000000001,2011-10-03
1131.25,0.13707,2.0584459007623375,1.0438643203011801,1.447814451382694,0.09856,1.9362043600374481,1.0438643203011801,1.7335712161760333,0.39497,1.9118630466764743,1.0438643203011801,1.6366339577757953,0.71147,1.9379430252775176,1.0438643203011801,2011,-0.5000000000000004,0.8660254037844384,2011-11-01
1207.75,0.14447,2.0271499264410857,1.0438643203011801,1.3455248290217068,0.13707,2.0584459007623375,1.0438643203011801,1.4023193577163247,0.21494,2.0006687174000266,1.0438643203011801,1.5391019922688076,0.49227,1.954527216798181,1.0438643203011801,2011,-2.4492935982947064e-16,1.0,2011-12-01
1199.0,0.1461,1.9993312825999732,1.0252882388636393,1.4365150163544453,0.14447,2.0271499264410857,1.0438643203011801,1.447814451382694,0.09856,1.9362043600374481,1.0438643203011801,1.6143324412726732,0.57395,1.9890330346395613,1.0438643203011801,2012,0.49999999999999994,0.8660254037844387,2012-01-03
1320.0,0.02185,2.0460077571218402,1.0252882388636393,1.4261076419863217,0.1461,1.9993312825999732,1.0252882388636393,1.3455248290217068,0.13707,2.0584459007623375,1.0438643203011801,1.7335712161760333,0.39497,1.9118630466764743,1.0438643203011801,2012,0.8660254037844386,0.5000000000000001,2012-02-01
1403.0,0.16924,1.9451651731978066,1.0252882388636393,1.5700267618198038,0.02185,2.0460077571218402,1.0252882388636393,1.4365150163544453,0.14447,2.0271499264410857,1.0438643203011801,1.4023193577163247,0.21494,2.0006687174000266,1.0438643203011801,2012,1.0,6.123233995736766e-17,2012-03-01
1505.5,0.19465,1.9784672997191386,1.0252882388636393,1.6687481415402914,0.16924,1.9451651731978066,1.0252882388636393,1.4261076419863217,0.1461,1.9993312825999732,1.0252882388636393,1.447814451382694,0.09856,1.9362043600374481,1.0438643203011801,2012,0.8660254037844387,-0.4999999999999998,2012-04-02
1340.0,-0.08722,1.8159689715126386,1.0252882388636393,1.7906630984240262,0.19465,1.9784672997191386,1.0252882388636393,1.5700267618198038,0.02185,2.0460077571218402,1.0252882388636393,1.3455248290217068,0.13707,2.0584459007623375,1.0438643203011801,2012,0.49999999999999994,-0.8660254037844387,2012-05-01
1427.75,-0.04815,1.9217600641968704,1.0252882388636393,1.5938150460898008,-0.08722,1.8159689715126386,1.0252882388636393,1.6687481415402914,0.16924,1.9451651731978066,1.0252882388636393,1.4365150163544453,0.14447,2.0271499264410857,1.0438643203011801,2012,1.2246467991473532e-16,-1.0,2012-06-01
1641.0,-0.05483,1.8611742677544467,1.0252882388636393,1.6981861433244128,-0.04815,1.9217600641968704,1.0252882388636393,1.7906630984240262,0.19465,1.9784672997191386,1.0252882388636393,1.4261076419863217,0.1461,1.9993312825999732,1.0252882388636393,2012,-0.4999999999999997,-0.8660254037844388,2012-07-02
1756.5,-0.06008,1.7016182961080646,1.0252882388636393,1.951828724353256,-0.05483,1.8611742677544467,1.0252882388636393,1.5938150460898008,-0.08722,1.8159689715126386,1.0252882388636393,1.5700267618198038,0.02185,2.0460077571218402,1.0252882388636393,2012,-0.8660254037844384,-0.5000000000000004,2012-08-01
1601.0,-0.16926,1.894476394275779,1.0252882388636393,2.0892060660124887,-0.06008,1.7016182961080646,1.0252882388636393,1.6981861433244128,-0.04815,1.9217600641968704,1.0252882388636393,1.6687481415402914,0.16924,1.9451651731978066,1.0252882388636393,2012,-1.0,-1.8369701987210297e-16,2012-09-04
1548.75,-0.09317,2.000133743480005,1.0252882388636393,1.904252155813262,-0.16926,1.894476394275779,1.0252882388636393,1.951828724353256,-0.05483,1.8611742677544467,1.0252882388636393,1.7906630984240262,0.19465,1.9784672997191386,1.0252882388636393,2012,-0.8660254037844386,0.5000000000000001,2012-10-01
1438.75,-0.00574,1.9300521599572018,1.0252882388636393,1.8421052631578947,-0.09317,2.000133743480005,1.0252882388636393,2.0892060660124887,-0.06008,1.7016182961080646,1.0252882388636393,1.5938150460898008,-0.08722,1.8159689715126386,1.0252882388636393,2012,-0.5000000000000004,0.8660254037844384,2012-11-01
1409.5,-0.17238,2.0575096964023003,1.0252882388636393,1.711269699672911,-0.00574,1.9300521599572018,1.0252882388636393,1.904252155813262,-0.16926,1.894476394275779,1.0252882388636393,1.6981861433244128,-0.04815,1.9217600641968704,1.0252882388636393,2012,-2.4492935982947064e-16,1.0,2012-12-03
1468.5,0.0844,1.9891667781195665,1.1314443522520403,1.6764793339280404,-0.17238,2.0575096964023003,1.0252882388636393,1.8421052631578947,-0.09317,2.000133743480005,1.0252882388636393,1.951828724353256,-0.05483,1.8611742677544467,1.0252882388636393,2013,0.49999999999999994,0.8660254037844387,2013-01-02
1452.25,0.1721,2.0200615220008022,1.1314443522520403,1.7466547725245316,0.0844,1.9891667781195665,1.1314443522520403,1.711269699672911,-0.00574,1.9300521599572018,1.0252882388636393,2.0892060660124887,-0.06008,1.7016182961080646,1.0252882388636393,2013,0.8660254037844386,0.5000000000000001,2013-02-01
1404.75,0.05034,2.047478935401899,1.1314443522520403,1.7273267915551591,0.1721,2.0200615220008022,1.1314443522520403,1.6764793339280404,-0.17238,2.0575096964023003,1.0252882388636393,1.904252155813262,-0.16926,1.894476394275779,1.0252882388636393,2013,1.0,6.123233995736766e-17,2013-03-01
1399.0,-0.02421,1.9987963086799518,1.1314443522520403,1.6708296164139163,0.05034,2.047478935401899,1.1314443522520403,1.7466547725245316,0.0844,1.9891667781195665,1.1314443522520403,1.8421052631578947,-0.09317,2.000133743480005,1.0252882388636393,2013,0.8660254037844387,-0.4999999999999998,2013-04-01
1510.0,-0.01939,2.144710445365788,1.1314443522520403,1.663990484686292,-0.02421,1.9987963086799518,1.1314443522520403,1.7273267915551591,0.1721,2.0200615220008022,1.1314443522520403,1.711269699672911,-0.00574,1.9300521599572018,1.0252882388636393,2013,0.49999999999999994,-0.8660254037844387,2013-05-01
1252.0,0.22769,1.0,1.1314443522520403,1.7960154623847755,-0.01939,2.144710445365788,1.1314443522520403,1.6708296164139163,0.05034,2.047478935401899,1.1314443522520403,1.6764793339280404,-0.17238,2.0575096964023003,1.0252882388636393,2013,1.2246467991473532e-16,-1.0,2013-06-03
1206.25,0.54638,1.0509562658820382,1.1314443522520403,1.489146595301814,0.22769,1.0,1.1314443522520403,1.663990484686292,-0.02421,1.9987963086799518,1.1314443522520403,1.7466547725245316,0.0844,1.9891667781195665,1.1314443522520403,2013,-0.4999999999999997,-0.8660254037844388,2013-07-01
1357.5,0.47507,1.0128393740805135,1.1314443522520403,1.4347308950341957,0.54638,1.0509562658820382,1.1314443522520403,1.7960154623847755,-0.01939,2.144710445365788,1.1314443522520403,1.7273267915551591,0.1721,2.0200615220008022,1.1314443522520403,2013,-0.8660254037844384,-0.5000000000000004,2013-08-01
1282.75,0.54083,1.0319646917212786,1.1314443522520403,1.6146297948260482,0.47507,1.0128393740805135,1.1314443522520403,1.489146595301814,0.22769,1.0,1.1314443522520403,1.6708296164139163,0.05034,2.047478935401899,1.1314443522520403,2013,-1.0,-1.8369701987210297e-16,2013-09-03
1266.25,0.49297,1.0769025010030762,1.1314443522520403,1.5257210823669343,0.54083,1.0319646917212786,1.1314443522520403,1.4347308950341957,0.54638,1.0509562658820382,1.1314443522520403,1.663990484686292,-0.02421,1.9987963086799518,1.1314443522520403,2013,-0.8660254037844386,0.5000000000000001,2013-10-01
1336.5,0.48964,1.1265213320850607,1.1314443522520403,1.5060957478441868,0.49297,1.0769025010030762,1.1314443522520403,1.6146297948260482,0.47507,1.0128393740805135,1.1314443522520403,1.7960154623847755,-0.01939,2.144710445365788,1.1314443522520403,2013,-0.5000000000000004,0.8660254037844384,2013-11-01
1292.5,0.4183,1.1265213320850607,1.1314443522520403,1.5896520963425513,0.48964,1.1265213320850607,1.1314443522520403,1.5257210823669343,0.54083,1.0319646917212786,1.1314443522520403,1.489146595301814,0.22769,1.0,1.1314443522520403,2013,-2.4492935982947064e-16,1.0,2013-12-02
1282.75,0.68064,1.0809148054032365,1.3239173240535487,1.5373178709485578,0.4183,1.1265213320850607,1.1314443522520403,1.5060957478441868,0.49297,1.0769025010030762,1.1314443522520403,1.4347308950341957,0.54638,1.0509562658820382,1.1314443522520403,2014,0.49999999999999994,0.8660254037844387,2014-01-02
1414.0,0.50868,1.122375284204895,1.3239173240535487,1.5257210823669343,0.68064,1.0809148054032365,1.3239173240535487,1.5896520963425513,0.48964,1.1265213320850607,1.1314443522520403,1.6146297948260482,0.47507,1.0128393740805135,1.1314443522520403,2014,0.8660254037844386,0.5000000000000001,2014-02-03
1464.0,0.58045,1.1449779323257991,1.3239173240535487,1.6818316978887897,0.50868,1.122375284204895,1.3239173240535487,1.5373178709485578,0.4183,1.1265213320850607,1.1314443522520403,1.5257210823669343,0.54083,1.0319646917212786,1.1314443522520403,2014,1.0,6.123233995736766e-17,2014-03-03
1512.75,0.70222,1.1586197672863447,1.3239173240535487,1.7413024085637823,0.58045,1.1449779323257991,1.3239173240535487,1.5257210823669343,0.68064,1.0809148054032365,1.3239173240535487,1.5060957478441868,0.49297,1.0769025010030762,1.1314443522520403,2014,0.8660254037844387,-0.4999999999999998,2014-04-01
1493.25,0.62685,1.1729303196469172,1.3239173240535487,1.7992863514719002,0.70222,1.1586197672863447,1.3239173240535487,1.6818316978887897,0.50868,1.122375284204895,1.3239173240535487,1.5896520963425513,0.48964,1.1265213320850607,1.1314443522520403,2014,0.49999999999999994,-0.8660254037844387,2014-05-01
1157.25,0.62453,1.190450715527618,1.3239173240535487,1.776092774308653,0.62685,1.1729303196469172,1.3239173240535487,1.7413024085637823,0.58045,1.1449779323257991,1.3239173240535487,1.5373178709485578,0.4183,1.1265213320850607,1.1314443522520403,2014,1.2246467991473532e-16,-1.0,2014-06-02
1082.0,0.59099,1.171726628326869,1.3239173240535487,1.376449598572703,0.62453,1.190450715527618,1.3239173240535487,1.7992863514719002,0.70222,1.1586197672863447,1.3239173240535487,1.5257210823669343,0.68064,1.0809148054032365,1.3239173240535487,2014,-0.4999999999999997,-0.8660254037844388,2014-07-01
1024.25,0.64941,1.2138558245285542,1.3239173240535487,1.286946179006839,0.59099,1.171726628326869,1.3239173240535487,1.776092774308653,0.62685,1.1729303196469172,1.3239173240535487,1.6818316978887897,0.50868,1.122375284204895,1.3239173240535487,2014,-0.8660254037844384,-0.5000000000000004,2014-08-01
913.25,0.58086,1.1852347198074094,1.3239173240535487,1.2182575081772227,0.64941,1.2138558245285542,1.3239173240535487,1.376449598572703,0.62453,1.190450715527618,1.3239173240535487,1.7413024085637823,0.58045,1.1449779323257991,1.3239173240535487,2014,-1.0,-1.8369701987210297e-16,2014-09-02
